shop_id,avg_mon_sales,avg_mon_volumn
0,195216.76470588235,344.2647058823529
1,95241.38235294117,185.61764705882354
2,1300396.7061764079,903.1176470588236
3,892983.7897058786,837.5
4,1197514.3729411506,1296.1470588235295
5,1126270.900588222,1260.2058823529412
6,2896398.5226471224,2963.4411764705883
7,1973246.4502941282,1975.264705882353
8,69214.73529411765,105.94117647058823
9,482101.941176473,466.8823529411765
10,570890.6876470586,721.2647058823529
11,15342.798235294118,16.823529411764707
12,3328977.348823492,2176.1764705882347
13,176652.15235294114,581.2647058823529
14,1378715.2935294074,1368.0588235294115
15,2025904.7441176344,2097.9705882352937
16,1695335.020294126,1816.8235294117649
17,820787.8823529169,762.2941176470587
18,2460844.7805883503,1930.0294117647054
19,1917307.1991176512,2166.705882352941
20,194291.8529411752,172.7352941176471
21,1846164.0629411389,2020.1470588235293
22,1784824.6385294385,1774.529411764706
23,165598.65294117702,227.11764705882354
24,2030270.513823556,1882.0294117647054
25,6381401.0470588235,7124.617647058823
26,1992499.1932353347,2000.7058823529408
27,4143672.424999948,4023.970588235294
28,4709694.284705848,5434.617647058823
29,1670743.544117641,1731.3235294117646
30,1378538.9235293928,1793.1176470588236
31,6931208.319705962,9153.823529411764
32,170800.94117647177,259.2647058823529
33,175968.4117647061,161.88235294117646
34,254222.30411764755,190.4705882352941
35,2069873.9002941144,2033.6764705882354
36,11160.617647058823,9.794117647058824
37,1359301.2100000088,1365.0
38,1940736.661176497,1589.6764705882354
39,533470.1617647015,489.8235294117647
40,126716.34470588234,145.7647058823529
41,1360674.073529448,1453.235294117647
42,4478798.467352914,4270.441176470587
43,1839892.202941091,1494.7941176470588
44,1009999.8382352988,1326.6176470588236
45,1207737.5873529012,1235.3235294117646
46,2186602.553235275,2326.2352941176473
47,2212272.9229411683,1995.0882352941173
48,821668.7282352927,735.2352941176471
49,594813.705882355,503.8823529411765
50,2297543.4117647586,2246.1470588235293
51,711916.5073529412,1434.3235294117646
52,1330458.527058754,1467.264705882353
53,1667325.5779411618,1818.264705882353
54,4188877.0670587886,5474.970588235295
55,1464519.397058783,1864.4117647058827
56,1730210.894999971,2302.2352941176473
57,3333384.1911764108,4159.529411764705
58,2027114.6726470585,2409.0588235294117
59,1335571.499999973,1445.029411764706
