shop_name,shop_id,store_sales,store_volumn
"!Якутск Орджоникидзе, 56 фран",0,6637370.0,11705.0
"!Якутск ТЦ ""Центральный"" фран",1,3238207.0,6311.0
"Адыгея ТЦ ""Мега""",2,44213488.00999787,30706.0
"Балашиха ТРК ""Октябрь-Киномир""",3,30361448.84999987,28475.0
"Волжский ТЦ ""Волга Молл""",4,40715488.67999911,44069.0
"Вологда ТРЦ ""Мармелад""",5,38293210.61999955,42847.0
"Воронеж (Плехановская, 13)",6,98477549.77000216,100757.0
"Воронеж ТРЦ ""Максимир""",7,67090379.31000034,67159.0
"Воронеж ТРЦ Сити-Парк ""Град""",8,2353301.0,3602.0
Выездная Торговля,9,16391466.000000082,15874.0
Жуковский ул. Чкалова 39м?,10,19410283.38,24523.0
Жуковский ул. Чкалова 39м²,11,521655.14,572.0
Интернет-магазин ЧС,12,113185229.85999872,73990.0
"Казань ТЦ ""Бехетле""",13,6006173.18,19763.0
"Казань ТЦ ""ПаркХаус"" II",14,46876319.97999985,46514.0
"Калуга ТРЦ ""XXI век""",15,68880761.29999956,71331.0
"Коломна ТЦ ""Рио""",16,57641390.69000029,61772.0
"Красноярск ТЦ ""Взлетка Плаза""",17,27906787.99999917,25918.0
"Красноярск ТЦ ""Июнь""",18,83668722.54000391,65621.0
"Курск ТЦ ""Пушкинский""",19,65188444.77000014,73668.0
"Москва ""Распродажа""",20,6605922.999999955,5873.0
"Москва МТРЦ ""Афи Молл""",21,62769578.13999872,68685.0
Москва Магазин С21,22,60684037.71000091,60334.0
"Москва ТК ""Буденовский"" (пав.А2)",23,5630354.200000019,7722.0
"Москва ТК ""Буденовский"" (пав.К7)",24,69029197.47000091,63989.0
"Москва ТРК ""Атриум""",25,216967635.6,242237.0
"Москва ТЦ ""Ареал"" (Беляево)",26,67744972.57000138,68024.0
"Москва ТЦ ""МЕГА Белая Дача II""",27,140884862.44999823,136815.0
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,160129605.67999882,184777.0
"Москва ТЦ ""Новый век"" (Новокосино)",29,56805280.49999979,58865.0
"Москва ТЦ ""Перловский""",30,46870323.39999936,60966.0
"Москва ТЦ ""Семеновский""",31,235661082.87000275,311230.0
"Москва ТЦ ""Серебряный Дом""",32,5807232.000000039,8815.0
"Мытищи ТРК ""XL-3""",33,5982926.000000007,5504.0
"Н.Новгород ТРЦ ""РИО""",34,8643558.340000017,6476.0
"Н.Новгород ТРЦ ""Фантастика""",35,70375712.6099999,69145.0
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,379461.0,333.0
"Новосибирск ТЦ ""Мега""",37,46216241.1400003,46410.0
"Омск ТЦ ""Мега""",38,65985046.48000088,54049.0
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,18137985.49999985,16654.0
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,4308355.72,4956.0
"РостовНаДону ТЦ ""Мега""",41,46262918.50000124,49410.0
"СПб ТК ""Невский Центр""",42,152279147.88999906,145195.0
"СПб ТК ""Сенная""",43,62556334.89999709,50823.0
"Самара ТЦ ""Мелодия""",44,34339994.50000016,45105.0
"Самара ТЦ ""ПаркХаус""",45,41063077.96999864,42001.0
"Сергиев Посад ТЦ ""7Я""",46,74344486.80999936,79092.0
"Сургут ТРЦ ""Сити Молл""",47,75217279.37999971,67833.0
"Томск ТРЦ ""Изумрудный Город""",48,27936736.759999953,24998.0
"Тюмень ТРЦ ""Кристалл""",49,20223666.00000007,17132.0
"Тюмень ТЦ ""Гудвин""",50,78116476.00000179,76369.0
"Тюмень ТЦ ""Зеленый Берег""",51,24205161.25,48767.0
"Уфа ТК ""Центральный""",52,45235589.91999764,49887.0
"Уфа ТЦ ""Семья"" 2",53,56689069.6499995,61821.0
"Химки ТЦ ""Мега""",54,142421820.2799988,186149.0
Цифровой склад 1С-Онлайн,55,49793659.49999864,63390.0
"Чехов ТРЦ ""Карнавал""",56,58827170.42999901,78276.0
"Якутск Орджоникидзе, 56",57,113335062.49999796,141424.0
"Якутск ТЦ ""Центральный""",58,68921898.86999999,81908.0
"Ярославль ТЦ ""Альтаир""",59,45409430.99999908,49131.0
